Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
26/10/2020,9650,10000,11250,11100,12000,11950
27/10/2020,9650,10000,11250,11100,12000,11950
28/10/2020,9850,10000,10450,11300,11150,12000
30/10/2020,9850,10000,10450,11300,11150,12000
02/11/2020,9650,10000,11250,11100,12000,11950
03/11/2020,9650,10000,11250,11100,12000,11950
04/11/2020,9650,10000,11250,11100,12000,11950
05/11/2020,9650,10000,11250,11100,12000,11950
06/11/2020,9650,10000,11250,11100,12000,11950
09/11/2020,9650,10000,11250,11100,12000,11950
10/11/2020,9650,10000,11250,11100,12000,11950
11/11/2020,9650,10000,11250,11100,12000,11950
12/11/2020,9650,10000,11250,11100,12000,11950
13/11/2020,9650,10000,11250,11100,12000,11950
16/11/2020,9650,10000,11250,11100,12000,11950
17/11/2020,9650,10000,11250,11100,12000,11950
18/11/2020,9650,10000,11250,11100,12000,11950
19/11/2020,9650,10000,11250,11100,12000,11950
20/11/2020,9650,10000,11250,11100,12000,11950
23/11/2020,9650,10000,11250,11100,12000,11950
24/11/2020,9650,10000,11250,11100,12000,11950
25/11/2020,9650,10000,11250,11100,12000,11950
26/11/2020,9650,10000,11250,11100,12000,11950
27/11/2020,9650,10000,11250,11100,12000,11950
30/11/2020,9650,10000,11250,11100,12000,11950
01/12/2020,9650,10000,11250,11100,12000,11950
02/12/2020,9650,10000,11250,11100,12000,11950
03/12/2020,9650,10000,11250,11100,12000,11950
04/12/2020,9650,10000,11250,11100,12000,11950
07/12/2020,9650,10000,11250,11100,12000,11950
08/12/2020,9650,10000,11250,11100,12000,11950
10/12/2020,9650,10000,11250,11100,12000,11950
11/12/2020,9650,10000,11250,11100,11950,11950
14/12/2020,9650,10000,11250,11100,11950,11950
15/12/2020,9650,10000,11250,11100,11950,11950
16/12/2020,9650,10000,11250,11100,11950,11950
17/12/2020,9650,10000,11250,11100,11950,11950
18/12/2020,9650,9900,11150,11150,11950,11850
21/12/2020,9650,9900,11150,11150,11950,11850
22/12/2020,9650,9900,11150,11150,11950,11850
23/12/2020,9650,9900,11150,11150,11950,11850
28/12/2020,9650,9900,11150,11150,11950,11850
29/12/2020,9650,9900,11150,11150,11950,11850
30/12/2020,9600,9950,11150,11150,11950,11850
04/01/2021,9600,9950,11150,11150,11950,11850
05/01/2021,9600,9950,11150,11150,11950,11850
06/01/2021,9600,9950,11150,11150,11950,11850
07/01/2021,9600,9950,11150,11150,11950,11850
08/01/2021,9600,9950,11150,11150,12000,11850
11/01/2021,9600,9950,11150,11150,12000,11850
12/01/2021,9600,9950,11150,11150,12000,11850
13/01/2021,9600,9950,11150,11150,12000,11850
14/01/2021,9600,9950,11150,11150,12000,11850
15/01/2021,9600,9950,11150,11150,12000,11850
18/01/2021,9600,9950,11150,11150,12000,11850
19/01/2021,9600,9950,11150,11150,12000,11850
20/01/2021,9600,9950,11150,11150,12000,11850
21/01/2021,9600,9950,11150,11150,12000,11850
22/01/2021,9600,9950,11150,11150,12000,11850
25/01/2021,9600,9950,11150,11150,12000,11850
26/01/2021,9600,9950,11150,11150,12000,11850
27/01/2021,9600,9950,11150,11150,12000,11850
28/01/2021,9600,9950,11150,11150,12000,11850
29/01/2021,9600,9950,11150,11150,12000,11850
01/02/2021,9600,9950,11150,11150,12000,11850
02/02/2021,9600,9950,11150,11150,12000,11850
03/02/2021,9600,9950,11150,11150,12000,11850
04/02/2021,9600,9950,11150,11150,12000,11850
05/02/2021,9600,9950,11150,11150,12000,11850
08/02/2021,9600,9950,11050,11150,12000,11850
09/02/2021,9600,9950,11050,11150,12000,11850
10/02/2021,9600,9950,11050,11150,12000,11850
11/02/2021,9600,9950,11050,11150,12000,11850
15/02/2021,9600,9950,11050,11150,12000,11850
16/02/2021,9600,9900,11050,11150,12000,11850
17/02/2021,9600,9900,11050,11150,12000,11850
18/02/2021,9600,9900,11050,11150,12000,11850
19/02/2021,9600,9900,11050,11150,12000,11850
22/02/2021,9600,9950,11050,11150,12000,11850
23/02/2021,9600,9950,11050,11150,12000,11850
24/02/2021,9600,9950,11050,11150,12000,11850
25/02/2021,9600,9950,11050,11150,12000,11850
26/02/2021,9600,9950,11050,11150,12000,11850
01/03/2021,9900,10250,11200,11400,12400,12450
02/03/2021,9900,10250,11200,11400,12400,12450
03/03/2021,9900,10250,11200,11400,12400,12450
