Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
2020,8/26/2020,9700,9950,11000,11100,12050,12000
2020,8/27/2020,9700,9900,11150,11000,12050,12000
2020,8/28/2020,9700,9900,11150,11000,12050,12000
2020,8/31/2020,9750,9900,11150,11000,12050,12000
2020,9/1/2020,9700,9950,11200,11050,12050,11950
2020,9/2/2020,9700,9950,11200,11050,12050,11950
2020,9/3/2020,9700,9950,11200,11050,12050,11950
2020,9/4/2020,9650,10000,11150,11100,12000,11950
2020,9/7/2020,9650,10000,11150,11100,12000,11950
2020,9/8/2020,9650,10000,11250,11100,12000,11950
2020,9/9/2020,9650,10000,11250,11100,12000,11950
2020,9/10/2020,9650,10000,11250,11100,12000,11950
2020,9/11/2020,9650,10000,11250,11100,12000,11950
2020,9/14/2020,9650,10000,11250,11100,12000,11950
2020,9/15/2020,9650,10000,11250,11100,12000,11950
2020,9/16/2020,9650,10000,11250,11100,12000,11950
2020,9/17/2020,9650,10000,11250,11100,12000,11950
2020,9/18/2020,9650,10000,11250,11100,12000,11950
2020,9/21/2020,9650,10000,11250,11100,12000,11950
2020,9/22/2020,9650,10000,11250,11100,12000,11950
2020,9/23/2020,9650,10000,11250,11100,12000,11950
2020,9/24/2020,9650,10000,11250,11100,12000,11950
2020,9/25/2020,9650,10000,11250,11100,12000,11950
2020,9/28/2020,9650,10000,11250,11100,12000,11950
2020,9/29/2020,9650,10000,11250,11100,12000,11950
2020,9/30/2020,9650,10000,11250,11100,12000,11950
2020,10/1/2020,9650,10000,11250,11100,12000,11950
2020,10/2/2020,9650,10000,11250,11100,12000,11950
2020,10/5/2020,9650,10000,11250,11100,12000,11950
2020,10/6/2020,9650,10000,11250,11100,12000,11950
2020,10/7/2020,9650,10000,11250,11100,12000,11950
2020,10/8/2020,9650,10000,11250,11100,12000,11950
2020,10/9/2020,9650,10000,11250,11100,12000,11950
2020,10/12/2020,9650,10000,11250,11100,12000,11950
2020,10/13/2020,9650,10000,11250,11100,12000,11950
2020,10/14/2020,9650,10000,11250,11100,12000,11950
2020,10/15/2020,9650,10000,11250,11100,12000,11950
2020,10/16/2020,9650,10000,11250,11100,12000,11950
2020,10/19/2020,9650,10000,11250,11100,12000,11950
2020,10/20/2020,9650,10000,11250,11100,12000,11950
2020,10/21/2020,9650,10000,11250,11100,12000,11950
2020,10/22/2020,9650,10000,11250,11100,12000,11950
2020,10/23/2020,9650,10000,11250,11100,12000,11950
2020,10/26/2020,9650,10000,11250,11100,12000,11950
2020,10/27/2020,9650,10000,11250,11100,12000,11950
2020,10/28/2020,9850,10000,10450,11300,11150,12000
2020,10/30/2020,9850,10000,10450,11300,11150,12000
2020,11/2/2020,9650,10000,11250,11100,12000,11950
2020,11/3/2020,9650,10000,11250,11100,12000,11950
2020,11/4/2020,9650,10000,11250,11100,12000,11950
2020,11/5/2020,9650,10000,11250,11100,12000,11950
2020,11/6/2020,9650,10000,11250,11100,12000,11950
2020,11/9/2020,9650,10000,11250,11100,12000,11950
2020,11/10/2020,9650,10000,11250,11100,12000,11950
2020,11/11/2020,9650,10000,11250,11100,12000,11950
2020,11/12/2020,9650,10000,11250,11100,12000,11950
2020,11/13/2020,9650,10000,11250,11100,12000,11950
2020,11/16/2020,9650,10000,11250,11100,12000,11950
2020,11/17/2020,9650,10000,11250,11100,12000,11950
2020,11/18/2020,9650,10000,11250,11100,12000,11950
2020,11/19/2020,9650,10000,11250,11100,12000,11950
2020,11/20/2020,9650,10000,11250,11100,12000,11950
2020,11/23/2020,9650,10000,11250,11100,12000,11950
2020,11/24/2020,9650,10000,11250,11100,12000,11950
2020,11/25/2020,9650,10000,11250,11100,12000,11950
2020,11/26/2020,9650,10000,11250,11100,12000,11950
2020,11/27/2020,9650,10000,11250,11100,12000,11950
2020,11/30/2020,9650,10000,11250,11100,12000,11950
2020,12/1/2020,9650,10000,11250,11100,12000,11950
2020,12/2/2020,9650,10000,11250,11100,12000,11950
2020,12/3/2020,9650,10000,11250,11100,12000,11950
2020,12/4/2020,9650,10000,11250,11100,12000,11950
2020,12/7/2020,9650,10000,11250,11100,12000,11950
2020,12/8/2020,9650,10000,11250,11100,12000,11950
2020,12/10/2020,9650,10000,11250,11100,12000,11950
2020,12/11/2020,9650,10000,11250,11100,11950,11950
2020,12/14/2020,9650,10000,11250,11100,11950,11950
2020,12/15/2020,9650,10000,11250,11100,11950,11950
2020,12/16/2020,9650,10000,11250,11100,11950,11950
2020,12/17/2020,9650,10000,11250,11100,11950,11950
2020,12/18/2020,9650,9900,11150,11150,11950,11850
2020,12/21/2020,9650,9900,11150,11150,11950,11850
2020,12/22/2020,9650,9900,11150,11150,11950,11850
2020,12/23/2020,9650,9900,11150,11150,11950,11850
2020,12/28/2020,9650,9900,11150,11150,11950,11850
2020,12/29/2020,9650,9900,11150,11150,11950,11850
2020,12/30/2020,9600,9950,11150,11150,11950,11850
2021,1/4/2021,9600,9950,11150,11150,11950,11850
2021,1/5/2021,9600,9950,11150,11150,11950,11850
